"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",1,3,3,5,4,6,6,7,4,5,7,8,4,9,7,11,38,55,93,12,13,12.9032258064516,13.9784946236559,59.1397849462366,40.8602150537634
"2","1","2",13,4,4,3,3,5,2,5,4,2,5,4,3,4,5,9,41,37,78,22,10,28.2051282051282,12.8205128205128,47.4358974358974,52.5641025641026
"3","1","3",2,1,1,1,1,2,3,2,1,1,2,4,1,4,3,3,14,21,35,5,4,14.2857142857143,11.4285714285714,60,40
"4","1","4",4,5,6,3,3,5,2,3,5,4,2,3,5,0,3,0,32,24,56,4,7,7.14285714285714,12.5,42.8571428571429,57.1428571428571
"5","1","5",7,4,1,2,1,1,1,2,3,0,1,1,2,1,2,0,21,11,32,7,2,21.875,6.25,34.375,65.625
"6","1","6",0,0,2,2,1,6,5,1,0,3,5,4,2,4,1,0,18,21,39,0,11,0,28.2051282051282,53.8461538461538,46.1538461538462
"7","10","1",1,3,3,4,3,8,5,7,3,4,8,8,4,7,6,11,34,54,88,12,16,13.6363636363636,18.1818181818182,61.3636363636364,38.6363636363636
"8","10","2",1,3,2,3,1,3,6,7,3,3,2,10,5,8,7,24,28,63,91,25,5,27.4725274725275,5.49450549450549,69.2307692307692,30.7692307692308
"9","10","3",3,1,2,4,3,6,6,7,1,5,7,9,3,11,7,12,33,57,90,15,13,16.6666666666667,14.4444444444444,63.3333333333333,36.6666666666667
"10","10","4",0,0,0,0,0,4,0,2,0,0,5,1,0,2,2,11,8,22,30,11,9,36.6666666666667,30,73.3333333333333,26.6666666666667
"11","10","5",0,0,0,1,0,12,1,1,0,1,13,1,1,1,1,1,17,20,37,1,25,2.7027027027027,67.5675675675676,54.0540540540541,45.9459459459459
"12","10","6",0,0,1,0,0,7,2,3,0,1,6,4,1,3,2,6,13,26,39,6,13,15.3846153846154,33.3333333333333,66.6666666666667,33.3333333333333
"13","11","1",19,9,10,6,9,11,4,7,9,7,11,5,6,5,7,5,77,56,133,24,22,18.0451127819549,16.5413533834586,42.1052631578947,57.8947368421053
"14","11","2",6,9,12,3,10,13,5,6,9,6,12,8,5,7,6,3,66,57,123,9,25,7.31707317073171,20.3252032520325,46.3414634146341,53.6585365853659
"15","11","3",23,8,7,4,5,8,5,2,9,3,6,3,7,1,2,0,65,31,96,23,14,23.9583333333333,14.5833333333333,32.2916666666667,67.7083333333333
"16","11","4",23,9,10,2,12,4,4,0,9,3,5,2,0,4,0,0,65,25,90,23,9,25.5555555555556,10,27.7777777777778,72.2222222222222
"17","11","5",11,5,5,3,4,6,5,3,5,2,6,5,3,5,3,2,44,32,76,13,12,17.1052631578947,15.7894736842105,42.1052631578947,57.8947368421053
"18","11","6",8,7,6,4,5,5,6,3,8,3,4,5,5,4,3,3,47,35,82,11,9,13.4146341463415,10.9756097560976,42.6829268292683,57.3170731707317
"19","12","1",12,8,7,8,9,7,4,8,8,7,9,5,5,7,8,7,64,58,122,19,16,15.5737704918033,13.1147540983607,47.5409836065574,52.4590163934426
"20","12","2",1,4,9,5,7,11,7,5,4,10,9,7,7,5,4,1,49,50,99,2,20,2.02020202020202,20.2020202020202,50.5050505050505,49.4949494949495
"21","12","3",18,9,10,3,8,3,5,1,9,4,1,3,5,1,1,0,60,24,84,18,4,21.4285714285714,4.76190476190476,28.5714285714286,71.4285714285714
"22","12","4",17,5,6,2,5,5,3,2,6,3,4,3,4,2,2,1,48,25,73,18,9,24.6575342465753,12.3287671232877,34.2465753424658,65.7534246575343
"23","12","5",16,5,4,2,5,5,1,1,4,1,6,0,0,1,1,1,40,16,56,17,11,30.3571428571429,19.6428571428571,28.5714285714286,71.4285714285714
"24","12","6",13,4,7,1,6,4,3,0,5,4,3,2,3,1,0,0,41,18,59,13,7,22.0338983050847,11.864406779661,30.5084745762712,69.4915254237288
"25","13","1",2,6,7,9,4,10,5,12,6,10,7,7,12,4,12,14,56,74,130,16,17,12.3076923076923,13.0769230769231,56.9230769230769,43.0769230769231
"26","13","2",30,7,5,8,7,5,5,5,7,6,6,2,6,3,5,4,73,41,114,34,11,29.8245614035088,9.64912280701754,35.9649122807018,64.0350877192982
"27","13","3",11,9,6,8,7,6,4,11,8,5,7,7,6,8,10,6,62,60,122,17,13,13.9344262295082,10.655737704918,49.1803278688525,50.8196721311475
"28","13","4",4,8,7,8,8,8,11,4,8,7,9,7,6,8,4,2,59,53,112,6,17,5.35714285714286,15.1785714285714,47.3214285714286,52.6785714285714
"29","13","5",5,6,5,6,6,10,5,4,6,5,11,3,4,5,4,5,48,45,93,10,21,10.752688172043,22.5806451612903,48.3870967741936,51.6129032258064
"30","13","6",8,4,8,4,5,13,5,2,4,8,10,3,7,0,2,0,51,35,86,8,23,9.30232558139535,26.7441860465116,40.6976744186046,59.3023255813954
"31","14","1",0,1,2,0,1,9,1,1,0,1,9,2,0,2,1,4,17,20,37,4,18,10.8108108108108,48.6486486486486,54.0540540540541,45.9459459459459
"32","14","2",2,6,6,3,6,10,3,3,5,4,10,3,3,3,3,1,41,33,74,3,20,4.05405405405405,27.027027027027,44.5945945945946,55.4054054054054
"33","14","3",2,5,18,2,19,261,13,2,5,15,262,13,1,14,2,0,324,313,637,2,523,0.313971742543171,82.1036106750392,49.1365777080063,50.8634222919937
"34","14","4",0,2,18,0,18,564,18,3,2,16,565,21,0,21,3,0,625,629,1254,0,1129,0,90.0318979266348,50.1594896331738,49.8405103668262
"35","14","5",0,1,14,0,13,595,12,0,0,13,595,12,0,12,0,0,637,633,1270,0,1190,0,93.7007874015748,49.8425196850394,50.1574803149606
"36","14","6",0,0,24,0,24,537,25,0,0,24,537,25,0,25,0,0,611,613,1224,0,1074,0,87.7450980392157,50.0816993464052,49.9183006535948
"37","15","1",9,6,10,2,7,17,7,4,6,5,14,9,4,6,4,2,63,52,115,11,31,9.56521739130435,26.9565217391304,45.2173913043478,54.7826086956522
"38","15","2",4,4,11,3,10,10,5,2,4,10,9,5,4,3,2,7,50,46,96,11,19,11.4583333333333,19.7916666666667,47.9166666666667,52.0833333333333
"39","15","3",4,5,3,3,3,4,6,2,4,1,5,5,2,6,2,5,32,31,63,9,9,14.2857142857143,14.2857142857143,49.2063492063492,50.7936507936508
"40","15","4",0,1,1,4,1,25,6,1,1,4,25,3,3,4,1,1,40,44,84,1,50,1.19047619047619,59.5238095238095,52.3809523809524,47.6190476190476
"41","15","5",0,0,0,1,1,26,1,0,0,1,26,0,0,1,0,0,30,30,60,0,52,0,86.6666666666667,50,50
"42","15","6",1,1,1,2,3,20,2,0,1,2,22,0,0,2,0,0,32,28,60,1,42,1.66666666666667,70,46.6666666666667,53.3333333333333
"43","16","1",0,1,4,2,2,17,7,2,1,5,15,7,4,5,2,2,36,43,79,2,32,2.53164556962025,40.5063291139241,54.4303797468354,45.5696202531646
"44","16","2",8,8,8,5,5,18,12,1,8,6,15,8,8,5,1,0,67,52,119,8,33,6.72268907563025,27.7310924369748,43.6974789915966,56.3025210084034
"45","16","3",11,8,10,3,10,13,5,0,8,5,12,2,3,2,0,0,61,34,95,11,25,11.5789473684211,26.3157894736842,35.7894736842105,64.2105263157895
"46","16","4",12,7,8,5,11,8,7,0,7,6,11,2,2,5,0,0,61,33,94,12,19,12.7659574468085,20.2127659574468,35.1063829787234,64.8936170212766
"47","16","5",16,7,9,3,7,7,4,2,7,5,5,3,5,1,2,0,56,30,86,16,12,18.6046511627907,13.953488372093,34.8837209302326,65.1162790697674
"48","16","6",17,8,7,5,7,2,6,1,9,4,2,1,6,1,1,2,56,26,82,19,4,23.1707317073171,4.8780487804878,31.7073170731707,68.2926829268293
"49","17","1",4,2,4,4,5,4,4,0,2,6,5,1,2,2,0,0,28,20,48,4,9,8.33333333333333,18.75,41.6666666666667,58.3333333333333
"50","17","2",10,5,6,1,4,6,2,5,4,2,4,6,2,5,5,5,40,35,75,15,10,20,13.3333333333333,46.6666666666667,53.3333333333333
"51","17","3",1,2,4,5,2,3,4,7,2,7,2,5,7,4,7,8,30,43,73,9,5,12.3287671232877,6.84931506849315,58.9041095890411,41.0958904109589
"52","17","4",27,7,8,1,9,4,2,0,8,2,5,1,1,2,1,0,61,20,81,27,9,33.3333333333333,11.1111111111111,24.6913580246914,75.3086419753086
"53","17","5",53,4,3,0,3,1,0,0,3,0,1,0,0,0,0,0,66,5,71,53,2,74.6478873239437,2.8169014084507,7.04225352112676,92.9577464788732
"54","17","6",41,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,50,2,52,41,0,78.8461538461538,0,3.84615384615385,96.1538461538462
"55","18","1",3,5,9,2,5,20,7,2,5,6,16,8,6,4,3,1,54,51,105,4,36,3.80952380952381,34.2857142857143,48.5714285714286,51.4285714285714
"56","18","2",10,9,8,4,7,4,5,1,9,3,3,2,5,1,1,1,51,25,76,11,7,14.4736842105263,9.21052631578947,32.8947368421053,67.1052631578947
"57","18","3",3,3,5,5,4,7,4,4,3,7,7,3,6,3,4,1,37,35,72,4,14,5.55555555555556,19.4444444444444,48.6111111111111,51.3888888888889
"58","18","4",0,1,1,1,0,9,4,4,1,1,9,6,2,6,4,6,22,36,58,6,18,10.3448275862069,31.0344827586207,62.0689655172414,37.9310344827586
"59","18","5",0,0,2,2,3,5,4,2,0,5,6,3,2,4,2,3,20,26,46,3,11,6.52173913043478,23.9130434782609,56.5217391304348,43.4782608695652
"60","18","6",0,0,0,1,0,0,1,6,0,1,0,5,1,5,5,35,8,55,63,35,0,55.5555555555556,0,87.3015873015873,12.6984126984127
"61","19","1",4,3,5,2,5,16,3,6,3,4,15,7,2,7,6,3,45,49,94,7,31,7.4468085106383,32.9787234042553,52.1276595744681,47.8723404255319
"62","19","2",2,2,0,4,2,9,7,5,2,2,10,8,2,9,4,17,31,57,88,19,19,21.5909090909091,21.5909090909091,64.7727272727273,35.2272727272727
"63","19","3",0,2,1,4,0,3,4,6,2,3,2,6,5,5,6,25,20,57,77,25,5,32.4675324675325,6.49350649350649,74.025974025974,25.974025974026
"64","19","4",0,0,2,3,3,2,2,4,0,5,3,3,2,5,5,10,17,35,52,10,5,19.2307692307692,9.61538461538461,67.3076923076923,32.6923076923077
"65","19","5",1,1,2,1,3,3,0,3,1,2,4,2,0,3,3,10,14,28,42,11,7,26.1904761904762,16.6666666666667,66.6666666666667,33.3333333333333
"66","19","6",2,2,3,1,4,4,1,1,2,2,5,1,1,2,2,10,20,26,46,12,9,26.0869565217391,19.5652173913043,56.5217391304348,43.4782608695652
"67","2","1",0,3,7,7,8,16,9,5,3,11,18,7,6,8,5,2,57,61,118,2,34,1.69491525423729,28.8135593220339,51.6949152542373,48.3050847457627
"68","2","2",5,3,4,8,6,9,7,10,3,9,11,9,6,11,11,12,53,74,127,17,20,13.3858267716535,15.748031496063,58.2677165354331,41.7322834645669
"69","2","3",1,4,7,3,5,4,1,8,4,6,2,6,4,4,7,12,33,48,81,13,6,16.0493827160494,7.40740740740741,59.2592592592593,40.7407407407407
"70","2","4",2,1,1,3,3,10,3,2,2,3,12,2,2,3,2,3,28,29,57,5,22,8.7719298245614,38.5964912280702,50.8771929824561,49.1228070175439
"71","2","5",3,2,3,1,1,3,2,3,2,2,1,4,2,2,3,6,19,24,43,9,4,20.9302325581395,9.30232558139535,55.8139534883721,44.1860465116279
"72","2","6",1,2,3,1,3,2,0,2,3,2,2,1,2,1,3,12,17,26,43,13,4,30.2325581395349,9.30232558139535,60.4651162790698,39.5348837209302
"73","20","1",7,5,1,5,1,1,1,7,5,1,1,3,4,3,6,24,28,50,78,31,2,39.7435897435897,2.56410256410256,64.1025641025641,35.8974358974359
"74","20","2",4,3,1,3,3,5,4,9,3,1,7,9,2,11,9,7,34,50,84,11,12,13.0952380952381,14.2857142857143,59.5238095238095,40.4761904761905
"75","20","3",8,5,9,0,8,3,1,2,6,4,2,3,2,2,3,0,39,22,61,8,5,13.1147540983607,8.19672131147541,36.0655737704918,63.9344262295082
"76","20","4",16,6,8,0,6,3,1,0,5,2,2,1,1,0,0,0,42,12,54,16,5,29.6296296296296,9.25925925925926,22.2222222222222,77.7777777777778
"77","20","5",9,6,4,3,4,2,1,3,6,1,3,1,3,1,3,3,34,22,56,12,5,21.4285714285714,8.92857142857143,39.2857142857143,60.7142857142857
"78","20","6",6,5,6,1,4,5,4,0,4,3,3,3,3,1,0,0,33,18,51,6,8,11.7647058823529,15.6862745098039,35.2941176470588,64.7058823529412
"79","21","1",4,3,5,2,4,13,1,3,3,4,11,3,3,1,3,2,36,32,68,6,24,8.82352941176471,35.2941176470588,47.0588235294118,52.9411764705882
"80","21","2",1,2,2,6,6,7,8,2,3,5,11,4,2,8,2,2,37,37,74,3,18,4.05405405405405,24.3243243243243,50,50
"81","21","3",1,3,3,5,4,6,7,2,3,5,7,4,4,5,2,1,33,32,65,2,13,3.07692307692308,20,49.2307692307692,50.7692307692308
"82","21","4",2,2,1,3,2,5,2,3,2,2,6,2,3,2,3,9,22,30,52,11,11,21.1538461538462,21.1538461538462,57.6923076923077,42.3076923076923
"83","21","5",1,6,6,3,5,5,2,3,6,2,4,2,4,1,3,3,33,26,59,4,9,6.77966101694915,15.2542372881356,44.0677966101695,55.9322033898305
"84","21","6",5,4,2,6,4,2,3,3,4,3,4,0,4,2,3,1,31,22,53,6,6,11.3207547169811,11.3207547169811,41.5094339622642,58.4905660377358
"85","22","1",5,4,5,3,5,4,2,1,4,4,4,1,3,1,2,1,30,22,52,6,8,11.5384615384615,15.3846153846154,42.3076923076923,57.6923076923077
"86","22","2",4,2,1,3,2,5,6,3,2,2,7,6,2,8,3,2,28,33,61,6,12,9.83606557377049,19.672131147541,54.0983606557377,45.9016393442623
"87","22","3",11,9,8,4,10,4,4,2,9,4,6,2,3,4,2,2,54,33,87,13,10,14.9425287356322,11.4942528735632,37.9310344827586,62.0689655172414
